Time,Show,Episode
12:00am,Ghost in the Shell: Stand Alone Complex,Meme
12:30am,Samurai Jack,Jack And The Creature
1:00am,Witch Hunter Robin,Raindrops
1:30am,Mobile Suit Gundam SEED,The Scar of Space
2:00am,.hack//Sign,Intermezzo
2:30am,InuYasha,"Enter Bankotsu, the Leader of the Band of Seven"
3:00am,Transformers: Cybertron,Savage
3:30am,Dragon Ball GT,Gil's Secret Identity is Revealed
4:00am,One Piece,The Long Arm of the Claw
4:30am,Yu-Gi-Oh!,Let The Finals Begin!
5:00am,Pokémon Chronicles,We're No Angels!
5:30am,Beyblade,And Justice - Five For All
6:00am,Hamtaro,The Flying Carp
6:30am,Mona the Vampire,Aliens 123/Zapman
7:00am,Krypto the Superdog,My Pet Boy / Dem Bones
7:30am,Battle B-Daman,Hurry Up And Wait
8:00am,Yu-Gi-Oh!,"On The Wrong Track, Part 2"
8:30am,Beyblade G-Revolution,Runaway Daichi
9:00am,Teen Titans,Troq
9:30am,Xiaolin Showdown,Sizing Up Omi
10:00am,Danny Phantom,Doctor's Disorders
10:30am,Hi Hi Puffy AmiYumi,Tsunami Yumi/Stupid Cupids/Brat Attack
11:00am,Justice League Unlimited,The Ties That Bind
11:30am,Avatar: The Last Airbender,"The Spirit World (Winter Solstice, Part 1)"
12:00pm,Pokémon: Advanced Battle,Gaining Groundon
12:30pm,Shaman King,Faust Viii
1:00pm,Beyblade G-Revolution,Runaway Diachi
1:30pm,Transformers: Cybertron,Savage
2:00pm,Battle B-Daman,Hurry Up And Wait
2:30pm,D.I.C.E.,Operation Grand Prix
3:00pm,Video and Arcade Top 10,Episode 41
3:27pm,Zixx: Level Two,Talk Like an Egyptian
3:57pm,Sabrina: Friends Forever (2002),
4:30pm,,
5:00pm,,
5:30pm,Martin Mystery,Nightmare Of The Coven
6:00pm,Being Ian,Miss Tween-Age Burnaby
6:30pm,Martin Mystery,Rise Of The Sea Mutants
7:00pm,Ghost Trackers,The Ghosts Of Mackenzie House
7:30pm,Dark Oracle,Full Circle
8:00pm,Smallville,Resurrection
8:30pm,,
9:00pm,Poltergeist (1982),
9:30pm,,
10:00pm,,
10:30pm,,
11:00pm,,
11:30pm,Bob And Margaret,Bob Gets Wired
