Time,Show,Episode
12:00am,Samurai Jack,"The Birth of Evil, Part 2"
12:30am,Spider-Man: The New Animated Series,Royal Scam
1:00am,Mobile Suit Gundam SEED,Athrun
1:30am,.hack//SIGN,Party
2:00am,ReBoot,Life's a Glitch
2:30am,Beasties: Transformers,The Agenda (Part 2)
3:00am,SD Gundam Force,The Mystery of LaCroa: Part 1: Arrival
3:30am,Dragon Ball GT,Rescue Goku! The Last Ally Appears
4:00am,Teen Titans,Betrayal
4:30am,Transformers Energon,Omega Supreme
5:00am,Hamtaro,The Animal Hospital
5:30am,Beyblade,Unseen and Unleased
6:00am,Seven Little Monsters,Lost and Found
6:30am,Monster by Mistake,Gargool's Pet
7:00am,Transformers Energon,Omega Supreme
7:30am,Battle B'Daman,Monkey Business
8:00am,Yu-Gi-Oh!,A Duel with Dartz (Part 2)
8:30am,Beyblade,When in Rome...Let it Rip
9:00am,Jackie Chan Adventures,The Chosen One
9:30am,Xiaolin Showdown,Journey of a Thousand Miles
10:00am,Danny Phantom,13
10:30am,Static Shock,Showtime
11:00am,Teen Titans,Birthmark
11:30am,Justice League Unlimited,The Once and Future Thing: Part 1
12:00pm,Pokémon: Advanced Challenge,Pearls are a Spoink's Best Friend
12:30pm,Yu-Gi-Oh!,A Duel with Dartz (Part 2)
1:00pm,Video and Arcade Top 10,Episode 23
1:30pm,Spy Academy,Mission Out of His League
2:00pm,Beyblade,When in Rome...Let it Rip
2:30pm,Battle B'Daman,Monkey Business
3:00pm,Transformers Energon,Omega Supreme
3:30pm,Martin Mystery,Shriek From Beyond
4:00pm,Hot Wheels AcceleRacers: The Speed of Silence (2005),
4:30pm,,
5:00pm,,
5:20pm,Snailympics,Max Against Gummy
5:30pm,ReBoot,Number 7
6:00pm,Martin Mystery,Attack of the Mothman
6:30pm,Spy Academy,Mission Nobody's Fool
7:00pm,Yvon of the Yukon,Land of the Midnight Scum
7:30pm,Funpak,Episode 5
8:00pm,Smallville,Lineage
8:30pm,,
9:00pm,Batman Returns (1992),
9:30pm,,
10:00pm,,
10:30pm,,
11:00pm,,
11:45pm,Batman Begins (2005) 10-Minute Sneak Peek,
