Time,Show,Episode,Image
12:00am,Ghost in the Shell: Stand Alone Complex,Section 9,""
12:30am,Samurai Jack,Jack and the Zombies,""
1:00am,Witch Hunter Robin,Replacement,""
1:30am,Mobile Suit Gundam SEED,Its Name: Gundam,""
2:00am,.hack//SIGN,Phantom,""
2:31am,Inuyasha,The Ghastly Steel Machine,""
3:02am,Transformers Cybertron,Deep,""
3:30am,Dragon Ball GT,Luud's Curse?! Pan is Turned into a Doll!,""
4:00am,One Piece,The Bluffs and the Bluffer,""
4:30am,Yu Gi Oh,"Grappling with a Guardian, Part 3",""
5:00am,Pokemon Chronicles,"The Legend of Thunder, Part 1",""
5:30am,Beyblade,Same Old Dirty Tricks,""
6:00am,Hamtaro,"Boss, The Cool Ham Of The Sea!",""
6:30am,Mona the Vampire,Bird Boy / Flower Power,""
7:00am,Krypto The Superdog,Krypto's Scrypto,""
7:30am,Battle B-Daman,Twisted Sister Act,""
8:00am,Yu-Gi-Oh!,"Fate Of The Pharaoh, Part 1",""
8:30am,Beyblade,Familiar Faces,""
9:00am,Teen Titans,Don't Touch That Dial,""
9:30am,Xiaolin Showdown,Days Past,""
10:00am,Danny Phantom,Control Freaks,""
10:30am,Hi Hi Puffy AmiYumi,Ami's Secret / Taffy Trouble / Dance a Go-Go,""
11:00am,Avatar: The Last Airbender,The Boy in the Iceberg,""
11:30am,The Avatar Returns,""
12:00pm,Pokémon: Advanced Challenge,Judgement Day,""
12:30pm,Shaman King,Vendetta,""
1:00pm,Beyblade,Familiar Faces,""
1:30pm,Transformers Cybertron,Deep,""
2:00pm,Battle B-Daman,Twisted Sister Act,""
2:30pm,D.I.C.E,Sos From Planet Saffaron,""
3:00pm,Video & Arcade Top 10,Episode 36,""
3:30pm,Zixx: Level Two,Welcome To The Fun House,""
4:00pm,Hot Wheels: AcceleRacers - The Speed of Silence (2005),""
4:30pm
5:00pm
5:30pm,Sonic X,Unfair Ball,""
6:00pm,Being Ian,The Kelley's,""
6:30pm,Martin Mystery,Curse Of The Looking Glass,""
7:00pm,Mystery Hunters,Face Scratchers / Cyclops,""
7:30pm,Dark Oracle,Recruitment,""
8:00pm,Smallville,Whisper,""
8:30pm
9:00pm,Wayne's World 2 (1993),""
9:30pm
10:00pm
10:30pm
11:00pm,Bob & Margaret,Bob's Burglary,""
11:30pm,"Blood, Sweat & Tears",""
