Time,Show,Episode,Youtube Video ID
12:00am,Malcolm in the Middle,Emancipation,
12:30am,The Fresh Prince of Bel-Air,"All Guts, No Glory",
1:00am,Smallville,Asylum,
1:30am,,,
2:00am,Sabrina the Teenage Witch,A Halloween Story,
2:30am,The Fresh Prince of Bel-Air,"All Guts, No Glory",
3:00am,Paid Programming,,
3:30am,,,
4:00am,Monster Warriors,Last Ride of the Skeleton Crew,
4:30am,Team Galaxy,Dance Dance Elimination,
5:00am,Grossology,Frankenbooger,
5:30am,Battle B-Daman,"Yamato vs. the Masked Marble, Part 2",
6:00am,Inspector Gadget,,
6:30am,Monster by Mistake,Badgering Bully,
7:00am,Jane and the Dragon,Adventures in Royal Babysitting,
7:30am,Seven Little Monsters,Are You my Family?,
8:00am,George Shrinks,Monster Mash,
8:30am,Brady's Beasts,,
8:45am,Mischief City,,
9:00am,Captain Flamingo,,
9:15am,The Amazing Adrenalini Brothers,,
9:30am,LazyTown,Soccer Sucker,
10:00am,Viva Pinata,Cocoadile Tears / Candiosity,
10:30am,Ruby Gloom,Once in a Blue Luna,
11:00am,Jacob Two-Two,Jacob Two-Two and the Valetine's Day Disaster,
11:30am,Mischief City,,
11:45am,Brady's Beasts,,
12:00pm,Transformers Cybertron,Collapse,
12:30pm,Captain Flamingo,,
12:45pm,The Amazing Adrenalini Brothers,Dog Sitting Miss Daisy,
1:00pm,George Shrinks,Journey to the Center of the Garden,
1:30pm,Brady's Beasts,,
1:45pm,Mischief City,,
2:00pm,Viva Pinata,Queen for a Day/ A Chewnicorn in the Garden,
2:30pm,Jacob Two-Two,Jacob Two-Two and the Demon Drooler,
3:00pm,Martin Mystery,The House of Zombies,
3:30pm,Team Galaxy,Class of 2051,
4:08pm,Robotboy,The Donnienator / Halloween,
4:27pm,Xiaolin Showdown,Big as Texas,
4:58pm,El Tigre: The Adventures of Manny Rivera,"Fools' Goal / El Tigre, El Jeffe",
5:30pm,Avatar: The Last Airbender,City of Walls and Secrets,
6:00pm,Hi Hi Puffy AmiYumi,,
6:15pm,Robotboy,,
6:30pm,Team Galaxy,Robot Reboot,
7:00pm,MÄR,Nanashi vs. Orco at The Underground Lake,
7:30pm,Zatch Bell!,Battle on the Sands: Brago vs. The Silent Rulers!,
8:00pm,Naruto,"A Feeling of Yearning, A Flower Full of Hope",
8:30pm,Live or Die: Risk it All to Win it All!,,
9:00pm,InuYasha,"Entei, The Demon Horse Unleashed",
9:30pm,Mobile Suit Gundam SEED Destiny,The Shadows of War,
10:00pm,Fullmetal Alchemist,Bonding Memories,
10:30pm,Bleach,Episode 23,
11:00pm,Eureka Seven,,
11:30pm,Gundam SEED,Moment,
