Time,Show,Episode
12:00am,Are You Being Served?,Night Club
12:30am,Keeping Up Appearances,Episode 38
1:00am,"Yes, Minister",Man Overboard
1:30am,Rocky & Bullwinkle,Episode 140
2:00am,Stickin Around,"Buttnocchio / Dill, Man of Letters"
2:30am,Rugrats,All's Well That Pretends Well / Big Babies
3:00am,Gundam Wing,And It's Name Is Epyon
3:30am,CatDog,The Lady is a Shriek / Dog the Mighty
4:00am,Hey Arnold!,School Play
4:30am,Uh Oh!,Episode 47
5:00am,Digimon,A Very Digi Christmas
5:32am,Pokémon,A Tent Situation
6:00am,Babar,A Pair Of Queens
6:30am,Rupert,Rupert and the Giant
7:00am,Monster By Mistake,Home Alone
7:30am,CatDog,Hail the Great Meow Woof / Battle of the Bands
8:00am,Rugrats,Wrestling Grandpa / Chuckie Collects
8:30am,Little Bear,Episode 13
9:00am,Rupert,Rupert and the Giant
9:30am,Babar,Babar Returns
10:00am,Anatole,Sewer Rats
10:30am,Fuzzpaws,"One Potato, Two Potato"
11:00am,Elliot Moose,Episode 23
11:30am,Monster By Mistake,The Big Dig
12:00pm,Uh Oh!,Episode 120
12:30pm,Mona The Vampire,Cry Of Swamp / Haunted House
1:00pm,Beethoven's 2nd (1993),
1:30pm,,
2:00pm,,
2:30pm,,
3:00pm,The Angry Beavers,Too Loose / Dag's
3:30pm,Dexter's Laboratory,Mom & Jerry / Chubby Cheese
4:00pm,Powerpuff Girls,Bubblevicious / Bare Facts
4:30pm,Hey Arnold!,Parent's Day
5:00pm,Pokémon,Rivalry Revival
5:30pm,Digimon,Dramon Power
6:00pm,As Told By Ginger,Stealing First
6:30pm,Yvon of the Yukon,Land Of Midnight SCum
7:00pm,SpongeBob SquarePants,Pizza Delivery / Home Sweet Pineapple
7:30pm,"Big Teeth, Bad Breath",Action Rabbit
8:00pm,Dragon Ball Z,Cell's Mighty Break Down
8:30pm,Freaky Stories,Memories Of Me
9:00pm,The New Addams Family,"Lights, Camera, Addams"
9:30pm,Breaker High,Squid's Well That Ends Well
10:00pm,Radio Active,Morgan's Day Off
10:30pm,Student Bodies,Victor In Love
11:00pm,Big Wolf on Campus,Commie Dawkins
11:30pm,Lucy Sullivan is Getting Married,Along The A40
