Time,Show,Episode,Image
12:00am,Are You Being Served?,Episode 2,""
12:31am,Keeping Up Appearances,Country Estate Sale,""
1:07am,"Yes, Prime Minister",A Conflict of Interest,""
1:35am,Rocky and Bullwinkle,Episode 125,""
2:05am,Paid Programming: Body Flex,""
2:34am,Rugrats,Game Show Didi / Toys in the Attic,""
3:05am,Mobile Suit Gundam Wing,To the Battleground Antarctica,""
3:35am,Batman: The Animated Series,Fire From Olympus,""
4:04am,Hey Arnold!,Headless Cabbie / Friday the 13th,""
4:34am,Uh Oh!,Episode 83,""
5:03am,Digimon,Out on the Town,""
5:30am,Pokémon: Johto League Champions,"Hook, Line, and Stinker",""
6:00am,The Adventures of Dudley the Dragon,Showbiz Dragon,""
6:24am,Animal Stories,Phillip the Fly,""
6:30am,Rupert,Rupert and Queen Bess,""
7:00am,Stickin' Around,"Have a Cow Man / Ice Cream, You Scream",""
7:30am,Mona the Vampire,Terror in Toon Town / Ghost in the Knight,""
8:00am,Rugrats,Driving Miss Angelica / Susie vs. Angelica,""
8:30am,Little Bear,Emily's Birthday / The Great Race / Circus for Tutu,""
8:54am,Judy & David's Boom Box,Crazy Square Dance,""
9:00am,Rupert,Rupert and the Fiddle,""
9:30am,Babar,Friendly Agreement,""
9:53am,Nanalan',Russell's Itch,""
9:56am,Chip 'n Orbit,Episode 38,""
10:00am,George & Martha,The Trip / The Experiment,""
10:30am,Panda Bear Daycare,It's What Counts,""
10:44am,Ruffus the Dog,Little Red Riding Hood,""
11:00am,Anthony Ant,The Ant Who Would Be King / The Big Flood,""
11:23am,Lisa,Hiccups,""
11:30am,Stickin' Around,Aaand Action! / Night of the Living Dumpster,""
12:00pm,Uh Oh!,Episode 103,""
12:30pm,Mona the Vampire,The Man with Nine Lives / Yak of the Yammering Yam,""
1:00pm,Oswald,Job For a Day / Perfect Match,""
1:30pm,Little Bear,Father Bear's Nightshirt / How to Scare Ghosts / Search for Spring,""
1:54pm,Judy & David's Boom Box,Sun Will Shine,""
2:00pm,Babar,The Missing Crown Affair,""
2:23pm,Nanalan',Russell's Dinner,""
2:26pm,Chip 'n Orbit,Episode 39,""
2:30pm,Rupert,Rupert's Undersea Adventure,""
3:00pm,The Angry Beavers,Damnesia / The Posei-Dam Adventure,""
3:30pm,Dexter's Laboratory,Decode of Honor / World's Greatest Mom / Ultrajerk 2000,""
4:00pm,The Powerpuff Girls,Imaginary Fiend / Cootie Gras,""
4:30pm,Hey Arnold!,Helga's Parrot / Chocolate Turtles,""
5:00pm,Pokémon: Johto League Champions,Beauty and the Breeder,""
5:30pm,Digimon,The Eighth Child Revealed,""
6:00pm,Generation O!,Our House,""
6:30pm,StarStreet,Becky Who?,""
6:50pm,Treasure,Treasure is Not Stupid,""
7:00pm,YTV's Hit List,Episode 11-33,""
7:30pm
8:00pm
8:30pm,The Powerpuff Girls,Bubblevicious / The Bare Facts,""
9:00pm,Daria,It Happened One Nut,""
9:30pm,Yu-Gi-Oh!,Trial by Red-Eyes,""
10:00pm,Dragon Ball Z,Gohan Attacks,""
10:30pm,Mobile Suit Gundam Wing,Bewildered Warriors,""
11:00pm,Chart Attack!,Episode 2-32,""
11:30pm
