Time,Show,Episode
12:00am,Pinky & The Brain,Pinky Suavo / T.H.E.Y
12:30am,Animaniacs,Episode 26
1:00am,Josie & The Pussycats,The Four Eyed Dragon
1:30am,Augie Doggie,Episode 11
2:00am,As Told By Ginger,Gym Class Confidential
2:30am,24seven,It's My Life
3:00am,So Little Time,The Job
3:30am,Big Wolf On Campus,Stormy Weather
4:00am,Girlstuff/Boystuff,Secrets and Lies / Mall's Fai
4:30am,Sailor Moon,The Cosmetic Caper
5:00am,Pokémon,Electric Shock Showdown
5:30am,He-Man & The Masters of the Universe,The Beginning (Part 3)
6:00am,Mona The Vampire,Day's Work / Intrigue
6:30am,Monster By Mistake,"Lights, Camera, Monster"
7:00am,Superfriends,Battle At The Earth's Core
7:30am,Static Shock,Brother-Sister Act
8:00am,The Zeta Project,Resume Mission
8:30am,Beyblade,Take It To The Max
9:00am,Jackie Chan Adventures,The Amazing T-Girl
9:30am,The Mummy,A New Beginning (Part I)
10:00am,He-Man & The Masters of the Universe,The Beginning (Part 3)
10:30am,X-Men: Evolution,"Bada Bing, Bada Boom"
11:00am,Justice League,Secret Origins (Part 3)
11:30am,Samurai Jack,The First Fight
12:00pm,Galidor: Defenders of the Outer Dimension,Belonging
12:30pm,Jacques Cousteau's Ocean Tales,House Under the Sea
1:00pm,Video & Arcade Top Ten,Episode 44
1:30pm,Uh Oh!,Episode 210
2:00pm,Medabots,Running Scared
2:30pm,Digimon,Juggernaut
3:00pm,Transformers: Robots In Disguise,Bullet Train Rescue
3:30pm,Beyblade,Take It To The Max
4:00pm,The Muppets Take Manhattan (1984),
4:30pm,,
5:00pm,,
5:30pm,,
6:00pm,Moville Mysteries,The Day Rico Became Smart
6:30pm,Freaky Stories,Animal Maggotism
7:00pm,Seriously Weird,When Yoghurt Attacks
7:30pm,Guinevere Jones,Detention
8:00pm,2030 CE,First Assignment
8:30pm,Vampire High,The Awakening
9:00pm,Buffy The Vampire Slayer,Grave
9:30pm,,
10:00pm,Fear,Duggan Bros. Cement Factory
10:30pm,,
11:00pm,Vampire High,Things That Go Vamp...
11:30pm,Big Wolf On Campus,Hellection
