Time,Show,Episode,Youtube Video ID
12:00am,Are You Being Served?,Strong Stuff This Insurance,
12:30am,Keeping Up Appearances,Episode 11,
1:00am,"Yes, Minister",Jobs For The Boys,
1:30am,Rocky & Bullwinkle,Episode 22,
2:00am,Stickin' Around,Jumbo Frank / Owned To A Tree,
2:30am,Rugrats,Reptar On Ice / Family Feud,
3:00am,Mobile Suit Gundam Wing,Trowa's Return To The Battlefield,
3:30am,Batman: The Animated Series,Dreams In Darkness,
4:00am,Hey Arnold!,Steely Phil / Quantity Time,
4:30am,Uh Oh!,Episode 171,
5:00am,Digimon,The Imperfect Storm,
5:30am,Pokémon: The Johto Journeys,The Stolen Stones!,
6:00am,Adventures Of Dudley The Dragon,Dragon's Ahoy,
6:30am,Rupert,Rupert and The Dragon,
7:00am,Monster By Mistake,Just Desserts,
7:30am,Mona The Vampire,Small Town / Devious,
8:00am,Rugrats,Superhero Chuckie / The Dog Groomer,
8:30am,Little Bear,Episode 3,
9:00am,Rupert,Rupert And The Sun Bandit,
9:30am,Babar,Witch's Potion,
10:00am,Seven Little Monsters,Lost And Found,
10:30am,Fuzzpaws,Under The Weather Over You,
11:00am,Elliot Moose,Episode 12,
11:30am,Monster By Mistake,Gwyneth,
12:00pm,Uh Oh!,Episode 172,
12:30pm,Mona The Vampire,The Ninja's Curse / Hal T. Neander,
1:00pm,Angelina Ballerina,Rag Doll Ballerina / Angelina And Grandma,
1:30pm,Little Bear,Episode 13,
2:00pm,Babar,All Played Out,
2:30pm,Rupert,Rupert And The Marsh Mystery,
3:00pm,Angry Beavers,Tough Love / Dad'll Do,
3:30pm,Dexter's Laboratory,Jurassic Pooch / Organ Grindor / Dimwit Dexter,
4:00pm,The Powerpuff Girls,Uh Oh... Dynamo,
4:30pm,Hey Arnold!,Eating Contest / Rhonda's Glasses,
5:00pm,Pokémon: The Johto Journeys,The Dunsparce Deception,
5:30pm,Digimon Tamers,Kazu's Upgrade,
6:00pm,So Little Time,The Volunteer,
6:30pm,Caitlin's Way,Old Friends,
7:00pm,Two Of A Kind,Peeping Twins,
7:30pm,Adventures of Daring & Grace,Alien Abduction (Part 2),
8:00pm,Dragon Ball Z,Time's Up,
8:30pm,The Return Of Goku,,
9:00pm,Freaky Stories,"When You Gotta Go, You Gotta Go",
9:30pm,Worst Witch,Up In The Air,
10:00pm,The New Addams Family,Fester & Granny Vs Grandpapa Addams,
10:30pm,Breaker High,When In Rome,
11:00pm,Student Bodies,Romeo's Old Friend,
11:30pm,Big Meg Little Meg,Gran Comes To Stay,
