Time,Show,Episode,Image
12:00am,Are You Being Served?,Episode 2,""
12:30am,Keeping Up Appearances,Episode 2,""
1:00am,"Yes, Minister",Power To The People,""
1:30am,Rocky & Bullwinkle,Episode 143,""
2:00am,Monster By Mistake,Entertaining Orville,""
2:30am,Rugrats,Share and Share a Spike / Tommy for Mayor,""
3:00am,Mobile Suit Gundam Wing,Birth Of Queen Relena,""
3:30am,CatDog,Fred the Flying Fish / CatDog Divided,""
4:00am,Hey Arnold!,Bag of Money / Principal Simmons,""
4:30am,Uh Oh!,Episode 123,""
5:00am,Digimon,Digimon World Tour (Part 3),""
5:30am,Pokémon: The Johto Journeys,A Sappy Ending,""
6:00am,Babar,Time Flies,""
6:30am,Rupert,Rupert In Toyland,""
7:00am,Stickin Around,Lights Out / Do The Russell,""
7:30am,CatDog,The Unnatural / Dog Ate It / Dopes on Slopes,""
8:00am,Rugrats,Brothers Are Monsters / Cooking With Susie,""
8:30am,Little Bear,Cat's Short Cut / Little Bear's Bad Day / Captain Little Bear,""
9:00am,Rupert,Rupert & The Knight,""
9:30am,Babar,Babar's Choice,""
10:00am,George & Martha,The Reader / The Decorator,""
10:30am,Kleo The Misfit Unicorn,Maggie Magpie,""
11:00am,Anthony Ant,Air Ant / Antastic,""
11:30am,Stickin Around,Man Named Gym / Pizza Carol,""
12:00pm,Uh Oh!,Episode 140,""
12:30pm,Mona The Vampire,Garage Sale Genie / Ghouls and Dolls,""
1:00pm,George & Martha,The Reader / The Decorator,""
1:30pm,Little Bear,Cat's Short Cut / Little Bear's Bad Day / Captain Little Bear,""
2:00pm,Babar,Time Flies,""
2:30pm,Rupert,Rupert In Toyland,""
3:00pm,The Angry Beavers,Stare and Stare Alike / Practical Jerks,""
3:30pm,Dexter's Laboratory,Dee Dee Locks and the Ness Monster / Backfire / Book 'em,""
4:00pm,The Powerpuff Girls,"Stuck Up, Up and Away / Schoolhouse Rocked",""
4:30pm,Hey Arnold!,New Bully on the Block / Phoebe Breaks Her Leg,""
5:00pm,Pokémon: The Johto Journeys,"Roll On, Pokemon",""
5:30pm,Digimon,Invasion of the Daemon,""
6:00pm,Ultimate Book Of Spells,What a Cut-Up!,""
6:30pm,Xcalibur,Destiny Of The Shogis,""
7:00pm,ReBoot,Null-Bot of the Bride,""
7:30pm,"Crouching Binome, Hidden Virus",""
8:00pm,Dragon Ball Z,The Horror Won't End,""
8:30pm,Freaky Stories,Boys and Ghouls Together,""
9:00pm,The New Addams Family,Keeping Up With The Joneses,""
9:30pm,Breaker High,Tamira Has Two Faces,""
10:00pm,Radio Active,The Poet,""
10:30pm,Student Bodies,Secret Admirer,""
11:00pm,Big Wolf On Campus,The Geek Shall Inherit,""
11:30pm,My Family,The Last Supper,""
