Time,Show,Episode,Youtube Video ID
12:00am,Danger Force,Return of the Kid,
12:30am,The Thousand Pranks War: Part I,,
1:00am,SpongeBob SquarePants,Chatterbox Gary / Don't Feed the Clowns,
1:30am,Drive Happy / Old Man Patrick,,
2:00am,The Hardy Boys,The Crash,
2:30am,,,
3:00am,Danger Force,Return of the Kid,
3:30am,The Thousand Pranks War: Part I,,
4:00am,The Next Step,Setting the Barre,
4:30am,Tapped Out,,
5:00am,SpongeBob SquarePants,Drive Happy / Old Man Patrick,
5:30am,Chatterbox Gary / Don't Feed the Clowns,,
6:00am,Wayside,Rat in Shining Armor / Mrs. Gorf,
6:28am,Piñata Smashlings Shorts,Order Up,
6:30am,Best & Bester,Fair Share / Power Plant,
7:00am,Cloudy with a Chance of Meatballs: The Series,Something Fishy / Out to FLUNCH,
7:28am,Piñata Smashlings Shorts,Order Up,
7:30am,Scaredy Squirrel,Dreamweaver / Chili Con Scaredy,
8:00am,The Loud House,Bummer Camp / Sleepstakes,
8:30am,Save Royal Woods!,,
8:58am,Piñata Smashlings Shorts,Order Up,
9:00am,SpongeBob SquarePants,Fun-Sized Friends / Grandmum's the Word,
9:30am,Doodle Dimension / Moving Bubble Bass,,
10:00am,Despicable Me 2 (2013),,
10:30am,,,
11:00am,,,
11:30am,,,
12:00pm,Despicable Me 3 (2017),,
12:30pm,,,
1:00pm,,,
1:30pm,,,
2:00pm,Barbie: It Takes Two,Triple Threat,
2:30pm,Monster High,Monster Hi-Jinks / Vamps Just Wanna Have Fun,
3:00pm,SpongeBob SquarePants,Doodle Dimension / Moving Bubble Bass,
3:30pm,Popularity Papers,Prides-Maids,
4:00pm,Despicable Me 2 (2013),,
4:30pm,,,
5:00pm,,,
5:30pm,,,
6:00pm,Despicable Me 3 (2017),,
6:30pm,,,
7:00pm,,,
7:30pm,,,
8:00pm,Despicable Me 3 (2017),,
8:30pm,,,
9:00pm,,,
9:30pm,,,
10:00pm,The Hardy Boys,Revelation,
10:30pm,,,
11:00pm,The Next Step,Bad Attitude,
11:30pm,Break Down,,
