Time,Show,Episode
12:00am,Danger Force,S.W.A.G is Haunted
12:30am,Captain Man Strikes Out,
1:00am,SpongeBob SquarePants,Shell Games / Senior Discount
1:30am,Mind the Gap / Dirty Bubble Returns,
2:00am,Bruno & Boots: The Wizzle War (2017),
2:30am,,
3:00am,,
3:30am,,
4:00am,6Teen,The Almost Graduate
4:30am,Bring It On,
5:00am,SpongeBob SquarePants,Biddy Sitting / Jolly Lodgers
5:30am,SpongeBob in Randomland / SpongeBob's Bad Habit,
6:00am,Wayside,"Oh, Brother / Snow Day"
6:30am,Scaredy Squirrel,Who's Your Paddy / Snerd Envy
7:00am,Cloudy with a Chance of Meatballs: The Series,Timmy Rockgood / Swallow Fails
7:30am,SpongeBob SquarePants,Handemonium / Breakin'
8:00am,Boss for a Day / The Goofy Newbie,
8:30am,The Loud House,Wheel & Deal / Feast or Family
9:00am,Barbie: It Takes Two,Costumed Capers
9:30am,TrollsTopia,Clash of the Battle Pinatas / R&B in R&D
10:00am,The Croods: Family Tree,Eep Cover
10:30am,The Mighty Ones,Verry Berry Gets it Together / New Found Land
11:00am,Jurassic World: Camp Cretaceous,A Beacon of Hope
11:30am,The Loud House,A Dark and Story Night / Sand Hassles
12:00pm,SpongeBob SquarePants,The Ghost of Plankton / My Two Krabses
12:30pm,"Knock Knock, Who's There? / Pat Hearts Squid",
1:00pm,Best & Bester,Robo Stomp / Wood You?
1:30pm,Scaredy Squirrel,Who's Your Paddy / Snerd Envy
2:00pm,Ollie's Pack,History Of Portshill / Trio's a Crowd
2:30pm,Super Wish,Pinata Trouble / Abracadabra
3:00pm,Jurassic World: Camp Cretaceous,A Beacon of Hope
3:30pm,Transformers: EarthSpark,Friends and Family
4:00pm,The Loud House,Wheel & Deal / Feast or Family
4:30pm,A Dark and Story Night / Sand Hassles,
5:00pm,SpongeBob SquarePants,The Ghost of Plankton / My Two Krabses
5:30pm,"Knock Knock, Who's There? / Pat Hearts Squid",
6:00pm,The LEGO Ninjago Movie (2017),
6:30pm,,
7:00pm,,
7:30pm,,
8:00pm,SpongeBob SquarePants,Lighthouse Louie / Hiccup Plague
8:30pm,A Cabin in the Kelp / The Hankering,
9:00pm,The LEGO Ninjago Movie (2017),
9:30pm,,
10:00pm,,
10:30pm,,
11:00pm,Pick a Puppy,Very Active
11:30pm,The Sweetest Thing,
