Time,Show,Episode,Image
12:00am,Danger Force,Dumber Force,""
12:30am,Don't Go In There!,""
1:00am,SpongeBob SquarePants,Plankton's Intern / Patrick's Tantrum,""
1:30am,Bubble Bass's Tab / Kooky Cooks,""
2:00am,The Hardy Boys,The Crash,""
2:30am
3:00am,Danger Force,Dumber Force,""
3:30am,Don't Go In There!,""
4:00am,The Next Step,Pointe of No Return,""
4:30am,How'd it Turnout?,""
5:00am,SpongeBob SquarePants,Bubble Bass's Tab / Kooky Cooks,""
5:30am,Plankton's Intern / Patrick's Tantrum,""
6:00am,Wayside,Miss Fortune / The Note,""
6:28am,Piñata Smashlings Shorts,Cooking Up Trouble,""
6:30am,Best & Bester,One Better Day,""
7:00am,Cloudy with a Chance of Meatballs: The Series,"Where There's a Gil, There's a Way",""
7:28am,Piñata Smashlings Shorts,Cooking Up Trouble,""
7:30am,Scaredy Squirrel,The Great Mistack / A Squirreled Away Treasure,""
8:00am,The Loud House,Waking History / Pranks Fore Nothing,""
8:30am,Runaway McBride / High Crimes,""
8:58am,Piñata Smashlings Shorts,Cooking Up Trouble,""
9:00am,SpongeBob SquarePants,Escape From Beneath Glove World,""
9:30am,Krusty Koncessionaires / Dream Hoppers,""
10:00am,Monster High: The Movie (2022),""
10:30am
11:00am
11:30am
12:00pm,The Smurfs (2011),""
12:30pm
1:00pm
1:30pm
2:00pm,The Loud House,"Beg, Borrow, and Steele / There Will Be Mud",""
2:30pm,Monster High,Monster Hi-Jinks / Vamps Just Wanna Have Fun,""
3:00pm,SpongeBob SquarePants,Krusty Koncessionaires / Dream Hoppers,""
3:30pm,Popularity Papers,The Wonderful Wizard of Mapleview: Part 2,""
4:00pm,Monster High: The Movie (2022),""
4:30pm
5:00pm
5:30pm
6:00pm,The Smurfs (2011),""
6:30pm
7:00pm
7:30pm
8:00pm,The Smurfs (2011),""
8:30pm
9:00pm
9:30pm
10:00pm,The Hardy Boys,Revelation,""
10:30pm
11:00pm,The Next Step,Waltz Back In,""
11:30pm,Just Duet,""
