Time,Show,Episode
12:00am,Pinky & The Brain,Pinky and the Brain Special
12:30am,Animaniacs,Wally Llama / Where Rodents
1:00am,Josie & The Pussycats,Dount Count On A Countess
1:30am,Superfriends,Episode 25
2:00am,Microsoft's .NET Show - Building Windows Apps,
2:30am,,
3:00am,,
3:30am,Big Wolf On Campus,Fear & Loathing In
4:00am,Girlstuff/Boystuff,Bad Memories / Presently Surprised
4:30am,Sailor Moon,An Unnatural Phenomenon
5:00am,Pokémon: The Johto Journeys,Fighting Flyer With Fire
5:30am,He-Man & The Masters of the Universe,Underworld
6:00am,Mona The Vampire,Toon Town / In The Knight
6:30am,Monster By Mistake,Live From Pickford
7:00am,Reboot,"Wizards, Warriors & a Word From Our Sponsor"
7:30am,Beyblade,Catch A Shooting All Star
8:00am,Beast Machines,Revelations Part 3
8:30am,Transformers Armada,Prehistory
9:00am,Jackie Chan Adventures,Animal Crackers
9:30am,The Mummy,"Like Father, Like Son"
10:00am,He-Man & The Masters of the Universe,The Mystery of Anwat Gar
10:30am,X-Men: Evolution,Rogue Recruit
11:00am,Justice League,Fury (Part 2)
11:30am,Samurai Jack,Jack & Smackback
12:00pm,Galidor: Defenders of the Outer Dimension,"All For One, One For Nepal"
12:30pm,Jacques Cousteau's Ocean Tales,"My Dolphin, My Sister"
1:00pm,Video & Arcade Top Ten,Episode 15
1:30pm,Uh Oh!,Episode 230
2:00pm,Medabots,Mother Of All Robattles
2:30pm,Digimon Frontier,A HunkaHunka Burning Greymon
3:00pm,Power Stone,Another Power Stone
3:30pm,Beyblade,Catch A Shooting All Star
4:00pm,Justice League - Secret Origins (2001),
4:30pm,,
5:00pm,,
5:30pm,Action Man,The Ultimate Doom (Part 1)
6:00pm,Moville Mysteries,"Mirror, Mirror Off The Wall"
6:30pm,Freaky Stories,The Big Queasy
7:00pm,Goosebumps,Say Cheese And Die Again
7:30pm,The New Addams Family,The Addams Family Tree
8:00pm,Mystery Hunters,Loch Ness - Whooper
8:30pm,Vampire High,The Summoning
9:00pm,Buffy The Vampire Slayer,Selfless
9:30pm,,
10:00pm,Scariest Places On Earth,Episode 24b
10:30pm,,
11:00pm,Vampire High,Breaking Up
11:30pm,Big Wolf On Campus,Faltered States
