Time,Show,Episode,Image
12:00am,Dragon Ball Z,More Androids,""
12:30am,He-Man & The Masters Of The Universe,The Siren's Song,""
1:00am,Superfriends,Rise & Fall Of Superfriends,""
1:30am,Thunderbirds,Operation Crash Dive Part 2,""
2:00am,Justice League,Paradise Lost (Part 1),""
2:30am,Samurai Jack,Jack In Space,""
3:00am,Vampire High,That's Why The Lady...,""
3:30am,Freaky Stories,Episode 18,""
4:00am,Seriously Weird,When Clones Go Bad,""
4:30am,Guinevere Jones,Psyched,""
5:00am,2030 CE,First Assignment,""
5:30am,Moville Mysteries,The Day Rico Became Smart,""
6:00am,Mona the Vampire,Brainwash / Revenge,""
6:30am,Seven Little Monsters,Are You My Family,""
7:00am,Hamtaro,"Get Well, Laura",""
7:30am,Cubix,The Iron Chef,""
8:00am,Rugrats,Curse Of The Werewolf,""
8:30am,Detention,Breaking Out,""
9:00am,Hey Arnold!,Dangerous Lumber / Mr. Hyunh Goes Country,""
9:30am,"The Adventures of Jimmy Neutron, Boy Genius","The Phantom of Retroland / My Son, the Hamster",""
10:00am,Spongebob Squarepants,Spongebob BC,""
10:30am,The Fairly Oddparents,Father Time / Apartnership,""
11:00am,Dexter's Laboratory,Episode 54,""
11:30am,The New Woody Woodpecker Show,Episode 42,""
12:00pm,The Wild Thornberry's,Critical Masai,""
12:30pm,Girlstuff/Boystuff,Secrets and Lies / Mall's Fair,""
1:00pm,D'myna Leagues,Mungomania,""
1:30pm,Uh Oh!,Episode 230,""
2:00pm,Beyblade,The Race Is On,""
2:30pm,Zoids,Brave Wild Eagle,""
3:00pm,Yu-Gi-Oh!,Legendary Heroes,""
3:30pm,Monster Rancher,Moo Revealed,""
4:00pm,ReBoot: My Two Bobs (2001),""
4:30pm
5:00pm
5:30pm
6:00pm,I Love Mummy,Halloween,""
6:30pm,24Seven,Guilty,""
7:00pm,YTV's Hit List,Episode 18,""
7:30pm
8:00pm
8:30pm,Girlstuff/Boystuff,Secrets and Lies / Mall's Fair,""
9:00pm,Live Through This,Episode 3,""
9:30pm
10:00pm,Guinevere Jones,That Old Black Magic,""
10:30pm,Seriously Weird,When Clones Go Bad,""
11:00pm,I Love Mummy,Halloween,""
11:30pm,Don't Lick the Pig,Episode 6,""
