Time,Show,Episode,Youtube Video ID
12:00am,Pinky and the Brain,Third Mouse / The Visit,
12:28am,Animaniacs,Episode 23,
12:57am,Josie and the Pussycats,All Hail Goddess Melody,
1:26am,Superfriends,The Fear,
1:54am,Microsoft's .net Show - Code Optimization,,
2:30am,,,
2:54am,What I Like About You,Holly's First Job,
3:30am,Big Wolf on Campus,Pilot,
3:58am,Girlstuff/Boystuff,The Art of the Deal / Un Amusement Park,
4:30am,Sailor Moon,A Moon Star is Born,
5:00am,Pokémon: Johto League Champions,Episode 200,
5:30am,He-Man and the Masters of the Universe,Night of the Shadowbeasts,
6:00am,Mona The Vampire,The Billabong Bunyip/The Subhuman Substitutes,
6:30am,Monster By Mistake,The Big Dig,
7:00am,Reboot,Web World Wars,
7:30am,Beyblade,Majestic Battle,
8:00am,Beast Machines,Spark Of Darkness,
8:30am,Transformers Armada,Palace,
9:00am,Jackie Chan Adventures,Re-Enter the Dragon,
9:30am,The Mummy,Howl,
10:00am,He-Man & The Masters of the Universe,The Roboto Gambit,
10:30am,X-Men: Evolution,Power Surge,
11:00am,Justice League,"Savage Time, Part 2",
11:30am,Samurai Jack,The Beginning,
12:00pm,Galidor: Defenders of the Outer Dimension,Pieces of Nick,
12:30pm,Jacques Cousteau's Ocean Tales,Spirit of the Crocodile,
1:00pm,Video & Arcade Top Ten,Episode 29,
1:30pm,Uh Oh!,Episode 229,
2:00pm,Medabots,Bridge Over Troubled Squidguts,
2:30pm,Digimon Frontier,Zoe's Unbeelievable Adventure,
3:00pm,Power Stone,A Distant Land,
3:30pm,Zoids: New Century,Unsanctioned Battle: The Mysterious Backdraft,
4:00pm,The Iron Giant (1999),,
4:30pm,,,
5:00pm,,,
5:30pm,,,
6:00pm,Moville Mysteries,Something Fishy,
6:30pm,Freaky Stories,Law and Disorder,
7:00pm,Goosebumps,"Chillogy, Part 2",
7:30pm,The New Addams Family,The Addam's Policy,
8:00pm,Mystery Hunters,Desert Mummies / Remote Viewing,
8:30pm,Vampire High,Rules are Rules,
9:00pm,Buffy The Vampire Slayer,Dirty Girls,
9:30pm,,,
10:00pm,Fear,The Hacienda,
10:30pm,,,
11:00pm,Vampire High,Breaking Up,
11:30pm,Big Wolf On Campus,Fangs for the Memories,
