Time,Show,Episode,Youtube Video ID
12:00am,Dead Last,Pilot,
12:30am,,,
1:00am,He-Man and the Masters of the Universe,Courage of Adam,
1:30am,Thunderbirds,Brink of Disaster,
2:00am,Justice League,In the Blackest Night,
2:30am,Samurai Jack,Jack and the Gangsters,
3:00am,X-Men: Evolution,Shadow Dance,
3:30am,Jackie Chan Adventures,Ox-Head Incident,
4:00am,Pinky and the Brain,TV or Not TV,
4:30am,Animaniacs,Temporary Insanity / Operation: Lollipop / What Are We?,
5:00am,Superfriends,Warpland / Two Gleeks Are Deadlier Than One / Bulgor the Behemoth,
5:30am,Digimon,Brave New Digital World,
6:00am,Mona the Vampire,The Granite Goliath / Intergalactic Space Campers,
6:30am,Seven Little Monsters,A Monster's Best Friend,
7:00am,Monster By Mistake,Jungleland,
7:30am,Hamtaro,"Courage, Cappy!",
8:00am,Rugrats,Bug Off / The Crawl Space,
8:30am,Detention,Greed,
9:00am,Hey Arnold!,Best Man / Cool Party,
9:30am,"The Adventures of Jimmy Neutron, Boy Genius",Brobot / The Big Pinch,
10:00am,SpongeBob SquarePants,SpongeBob Meets the Strangler / Pranks a Lot,
10:30am,The Fairly OddParents,Love Struck!,
11:00am,Dexter's Laboratory,That Magic Moment / A Silent Cartoon / Opposites Attract,
11:30am,The New Woody Woodpecker Show,Infrequent Flyer / A Chilly Cold & Flu Season / Moto-Double Cross,
12:00pm,Yvon of the Yukon,Beach Blanket Bozos,
12:30pm,Girlstuff/Boystuff,Cha-Ching / Slam,
1:00pm,D'myna Leagues,The Golden Boy,
1:30pm,Uh Oh!,Episode 225,
2:00pm,System Crash,Health & Fitness,
2:30pm,I Love Mummy,James Falls in Love,
3:00pm,Radio Active,Quiz Show,
3:30pm,Student Bodies,The Bully,
4:00pm,Passport to Paris (1999),,
4:30pm,,,
5:00pm,,,
5:30pm,,,
6:00pm,What I Like About You,Valentine's Day,
6:30pm,The Brothers Garcia,Tamale Follies,
7:00pm,Girlstuff/Boystuff,Cha-Ching / Slam,
7:30pm,Saddle Club,Show Ponies,
8:00pm,YTV's Hit List,#24,
8:30pm,,,
9:00pm,,,
9:30pm,Girlz TV,#2,
10:00pm,Student Bodies,The Bully,
10:30pm,Radio Active,Quiz Show,
11:00pm,I Love Mummy,James Falls in Love,
11:30pm,System Crash,Health & Fitness,
