Time,Show,Episode
12:00am,Spider-Man: The New Animated Series,Spider-Man Dis-Abled
12:30am,Samurai Jack,"Episode XXXVI: Jack, the Monks, and the Ancient Master's Son"
1:00am,InuYasha,"Go Home to Your Own Time, Kagome!"
1:30am,Despicable Villain! The Mystery of Onigumo!,
2:00am,Microsoft's .net Show,Episode 58
2:30am,,
3:00am,System Crash,System Ca$h
3:30am,Dragon Ball,Danger in the Air
4:00am,Dragon Ball GT,Find the Tough Guy: Lezick the Bodyguard!
4:30am,Uh Oh!,Episode 86
5:00am,Pokémon,Wake Up Snorlax
5:30am,He-Man and the Masters of the Universe,"Rise of the Snake Men, Part 1"
6:00am,Uh Oh!,Episode 87
6:30am,Monster by Mistake,Monster Mayhem
7:00am,Pokémon: Master Quest,Pop Goes the Sneasel
7:30am,Medabots,It's The Medafighter Way
8:00am,Yu Gi-Oh!,"Isolated in Cyber Space, Part 3"
8:30am,Transformers: Armada,Alliance
9:00am,Jackie Chan Adventures,The Amazing T-Troop
9:30am,Knights of the Zodiac,Dragon In Graveyard Of Knights
10:00am,Teen Titans,"Apprentice, Part 1"
10:30am,X-Men: Evolution,"The Toad, The Witch, and the Wardrobe"
11:00am,Justice League,"Maid of Honor, Part 2"
11:30am,He-Man and the Masters of the Universe,"Rise of the Snake Men, Part 2"
12:00pm,Pokémon: Master Quest,Pop Goes the Sneasel
12:30pm,Digimon Frontier,Better an Egg than an Egg Shell
1:00pm,Video & Arcade Top 10,Episode 51
1:30pm,Zoids: New Century,Mystery of Ultimate X
2:00pm,Power Stone,The Ghost Ship
2:30pm,Cubix,Klank
3:00pm,Rocket Power,New Girl on the Block / After Shocked
3:30pm,The Powerpuff Girls,Monstra-City / Shut The Pup Up
4:00pm,Pokémon: Mewtwo Returns (2000),
4:30pm,,
5:00pm,,
5:30pm,Ani-Mayhem: The Zone Special,
6:00pm,Moville Mysteries,Night and Day of the Hunter
6:30pm,Freaky Stories,"When You Gotta Go, You Gotta Go"
7:00pm,Martin Mystery,Curse of the Deep
7:30pm,Spider-Man: The New Animated Series,Spider-Man Dis-Abled
8:00pm,Batman Forever (1995),
8:30pm,,
9:00pm,,
9:30pm,,
10:00pm,,
10:30pm,Sugar & Avril: A Zone Special,
11:00pm,YTV's Hit List,Episode 10
11:30pm,,
