Time,Show,Episode
12:00am,Dragon Ball Z,Mystery Revealed
12:28am,He-Man and the Masters of the Universe,Snake Pit
1:00am,Superfriends,Warpland / Two Gleeks Are Deadlier Than One / Bulgor the Behemoth
1:28am,Thunderbirds,Attack of the Alligators! (Part 1)
2:00am,Justice League,"A Knight of Shadows, Part 1"
2:30am,Samurai Jack,Jack and the Scotsman
3:01am,X-Men: Evolution,Mindbender
3:30am,Jackie Chan Adventures,Jade Times Jade
4:00am,Pinky and the Brain,"Brain's Bogie / Say What, Earth?"
4:30am,Animaniacs,Variety Speak / Three Tenors and You're Out / Bingo / Finale
5:01am,Superfriends,Warpland / Two Gleeks Are Deadlier Than One / Bulgor the Behemoth
5:28am,Digimon Frontier,Cherubimania
6:00am,Uh Oh!,Episode 207
6:30am,Seven Little Monsters,Spooky!
7:00am,Monster By Mistake,Thin Ice
7:30am,Hamtaro,In Search of the Pendant
8:00am,Rugrats,A Step at a Time / Angelica's Assistant
8:30am,Detention,Little Miss Popular
9:00am,Hey Arnold!,"Timberly Loves Arnold/Eugene, Eugene"
9:30am,"The Adventures of Jimmy Neutron, Boy Genius",Brobot / Big Pinch
10:00am,SpongeBob SquarePants,Mermaid Man and Barnacle Boy IV / Doing Time
10:30am,The Fairly OddParents,Odd Jobs / Movie Magic
11:00am,Dexter's Laboratory,Mind Over Chatter/A Quakor Cartoon/Momdark
11:30am,The New Woody Woodpecker Show,Episode 46
12:00pm,Yvon of the Yukon,Valentine's Day
12:30pm,Girlstuff/Boystuff,Cha Ching / Slam
1:00pm,D'Myna Leagues,Who Do Voodoo?
1:30pm,Uh Oh!,Episode 219
2:00pm,System Crash,Rivalries & Competition
2:30pm,I Love Mummy,Invaders of Forgotten Tomb
3:00pm,Radio Active,For Whom The Bell Curve
3:30pm,Breaker High,Tomb With a View
4:00pm,Yvon of the Yukon,Valentine's Day
4:30pm,Girlstuff/Boystuff,Cha Ching / Slam
5:00pm,Stuart Little,Episode 5
5:30pm,Wish Upon a Star (1996),
6:00pm,,
6:30pm,,
7:00pm,,
7:30pm,,
8:00pm,Road Scholars,Spain
8:30pm,Girlz TV,Episode 18
9:00pm,YTV's Hit List,Episode 49
9:30pm,,
10:00pm,I Love Mummy,Invaders of Forgotten Tomb
10:30pm,Timeblazers,"Good, The Bad & The Bread"
11:00pm,Radio Active,For Whom The Bell Curve
11:30pm,Breaker High,Tomb With a View
