Time,Show,Episode
12:07am,Are You Being Served?,Dear Sexy Knickers
12:45am,Keeping Up Appearances,Episode 28
1:23am,My Family,Waiting To Inhale
1:55am,The New Addams Family,Uncle Fester's Illness
2:25am,Radio Active,Morgan Unplugged
2:55am,System Crash,Survival of the Kid-est
3:25am,Dragon Ball,The Battle with Sergeant Metalli
4:00am,Dragon Ball Z,A Collision Course
4:30am,Uh Oh!,Episode 221
5:00am,Pokémon,Sparks Fly For Magnemite
5:30am,Yu-Gi-Oh!,Into the Hornets Nest
6:00am,Uh Oh!,Episode 222
6:30am,Stickin' Around,Disciplinary Action / This is a Hiccup
7:00am,Hamtaro,Romancing the Roosters
7:30am,The New Woody Woodpecker Show,Episode 42
8:00am,Rugrats,Mutts in a Name / Hurricane Alice
8:30am,Mona the Vampire,Flea Circus of Horrors / Shadow of a Doubt
9:00am,Rupert,Rupert and Growler
9:30am,Care Bears,Lost Gift / Heart's Wish
10:00am,D'myna Leagues,Skin Deep
10:30am,Monster by Mistake,Johnny's Reunion
11:00am,Stickin' Around,Tree's Company/Dear Diary
11:30am,Flying Rhino Junior High,Better Safe Than Silly
12:00pm,SpongeBob SquarePants,Welcome to the Chum Bucket / Frankendoodle
12:30pm,Hamtaro,The Very Best Present
1:00pm,Care Bears,The Great Race
1:30pm,George Shrinks,Dogsitting Miss Daisy
2:00pm,Mona the Vampire,X-Change Student / Red Moon
2:30pm,Sailor Moon,Molly's Folly
3:00pm,Pokémon: Master Quest,Do's and Don'ts
3:30pm,Jackie Chan Adventures,"Project A, For Astral"
4:00pm,The Fairly OddParents,Kung Timmy / Which Witch is Which?
4:30pm,Chalkzone,Waste Mountain / Madcap Snap / What's My Line? / Puttin’ on the Dog (Song)
5:00pm,Yu-Gi-Oh!,Ultimate Great Moth
5:30pm,Beyblade V-Force,Fortunes Dear and Dire
6:00pm,SpongeBob SquarePants,Welcome to the Chum Bucket / Frankendoodle
6:30pm,Mental Block,The Birth of Cool
7:00pm,What I Like About You,"I'm Sorry, So Sorry"
7:30pm,Yvon of the Yukon,Trouble with Mammoths
8:00pm,Dragon Ball,Ninja Murasaki is Coming!
8:30pm,Dragon Ball Z,Stay Away from Frieza
9:00pm,Goosebumps,"Perfect School, Part 1"
9:30pm,Radio Active,Prince & The Pimple
10:00pm,Ready or Not,Thin Ice
10:30pm,Big Wolf on Campus,Fear & Loathing IN
11:00pm,The New Addams Family,Morticia The Decorator
11:30pm,My Family,Misery
