Time,Show,Episode,Image
12:00am,Pinky & The Brain,Star Warners,""
12:30am,Animaniacs,Episode 13,""
1:00am,Josie & The Pussycats,Alien Alan,""
1:30am,Superfriends,Rub Three Times For Disaster,""
2:00am,Microsoft's .NET Show - Building For Enterprise,""
2:30am
3:00am,What I LIke About You,Copy That,""
3:30am,Big Wolf On Campus,Stone Free,""
4:00am,Girlstuff/Boystuff,The Lake / Klingon Someone Else,""
4:30am,Sailor Moon,Bad Hair Day,""
5:00am,Pokémon: The Johto Journeys,The Totodile Duel,""
5:30am,He-Man & The Masters of the Universe,Trust,""
6:00am,Mona The Vampire,Terminate Her / 18 Holes,""
6:30am,Monster By Mistake,Monster A Go Go,""
7:00am,Reboot,Identity Crisis (Part 2),""
7:30am,Beyblade,Cruising For A Bruising,""
8:00am,Beast Machines,End of the Line,""
8:30am,Transformers Armada,Credulous,""
9:00am,Jackie Chan Adventures,Viva Las Jackies,""
9:30am,The Mummy,Time Before Time,""
10:00am,He-Man & The Masters of the Universe,Orko's Garden,""
10:30am,Buzz Off's Pride,""
11:00am,Snake Pit,""
11:30am,Samurai Jack,Jack and the Monks,""
12:00pm,Galidor: Defenders of the Outer Dimension,Crack In The Map,""
12:30pm,Jacques Cousteau's Ocean Tales,Harvestors of the Sea,""
1:00pm,Video & Arcade Top Ten,Episode 19,""
1:30pm,Uh Oh!,Episode 212,""
2:00pm,Medabots,Welcome To Ninja World,""
2:30pm,Digimon Frontier,Better an Egg than an Egg Shell,""
3:00pm,Power Stone,The Pirate Kraken,""
3:30pm,Zoids,Harry's Disaster - Dr. Laon Traps Toros,""
4:00pm,Time Kid (2002),""
4:30pm
5:00pm
5:30pm,Jacques Cousteau's Ocean Tales,In Search of Atlantis,""
6:00pm,Moville Mysteries,Sold Your Soul,""
6:30pm,Freaky Stories,Designer Tales,""
7:00pm,Goosebumps,Don't Go To Sleep,""
7:30pm,The New Addams Family,Art and the Addams Family,""
8:00pm,Mystery Hunters,Dinos / I'm Hot,""
8:30pm,Vampire High,Love's Labour Not Lost,""
9:00pm,Buffy The Vampire Slayer,Sleeper,""
9:30pm
10:00pm,Fear,Duggan Bros Cement Factory,""
10:30pm
11:00pm,Vampire High,A Grave Matter,""
11:30pm,Big Wolf On Campus,Everybody Fang Chung Tonight,""
