Time,Show,Episode
12:00am,Clue (1985),
12:30am,,
1:00am,,
1:30am,,
2:00am,X-Men: Evolution,The Stuff Of Heroes
2:30am,Heavy Gear: The Animated Series,Gear Wars
3:00am,Knights of the Zodiac,Return of Phoenix
3:30am,Thunderbirds,"Path Of Destruction, Part 2"
4:00am,Jackie Chan Adventures,The Amazing T-Troop
4:30am,Uh Oh!,Episode 118
5:00am,Medabots,"Once a Medafighter, Part I"
5:30am,Beyblade V-Force,Guess Who's Back In Town?
6:00am,Uh Oh!,Episode 119
6:30am,Seven Little Monsters,Please Mr.Postman
7:00am,Dexter's Laboratory,Dexter the Barbarian / Tuber Time / Sore Eyes
7:30am,The New Woody Woodpecker Show,Episode 42
8:00am,Stuart Little,The Meatloaf Bandit
8:30am,ChalkZone,The Skrawl / Pie Day / Secret Passages / In the Zone (Song)
9:00am,Hey Arnold!,Helga's Parrot / Chocolate Turtles
9:30am,"The Adventures of Jimmy Neutron, Boy Genius",Prof Calamitous / Journey to the Center of Carl
10:00am,SpongeBob SquarePants,Spongebob BC
10:30am,The Fairly OddParents,Foul Bailed / Would Be Queen
11:00am,All Grown Up,Coup Deville
11:30am,Jacob Two-Two,Jacob Two Two and the Mystery of the Malty McGuffin
12:00pm,Yvon of the Yukon,Yvon Over the Rainbow
12:30pm,Girlstuff/Boystuff,Tickets Please / Face Powder Blues
1:00pm,D'Myna Leagues,Scavenger Avengers
1:30pm,Sitting Ducks,Gator in the Mask / Lotta Gelata
2:00pm,Moville Mysteries,Pet Shop Of No Return
2:30pm,Ultimate Book of Spells,Fire With Fire
3:00pm,Detention,The Contest
3:30pm,Stuart Little,The Meatloaf Bandit
4:00pm,Addam's Family Reunion (1998),
4:30pm,,
5:00pm,,
5:30pm,,
6:00pm,Jacob Two-Two,Jacob Two Two and the Mystery of the Malty McGuffin
6:30pm,Mental Block,Born To Be Mild
7:00pm,YTV's Hit List,Episode 13-6
7:30pm,,
8:00pm,Girlstuff/Boystuff,Tickets Please / Face Powder Blues
8:30pm,Girlz TV,Episode 15
9:00pm,Road Scholars,France
9:30pm,Mystery Hunters,Dragons / Sewer Gaters
10:00pm,YTV's Hit List,Episode 13-6
10:30pm,,
11:00pm,Breaker High,Tomb With A View
11:30pm,Ready or Not,Black & White
