Time,Show,Episode,Youtube Video ID
12:03am,Are You Being Served?,Episode 6,
12:36am,Keeping Up Appearances,Episode 28,
1:15am,2point4children,Leader Of The Pack,
1:52am,The New Addams Family,"Gomez, The Cat Burglar",
2:32am,Radio Active,Bad Aptitude,
3:04am,Big Wolf On Campus,Very Pale Rider,
3:32am,Medabots,Ace From Outerspace,
4:00am,Dragon Ball Z,Majin-Buu Transforms,
4:30am,Sailor Moon,Mercury's Mental Match,
5:00am,Pokémon: The Johto Journeys,A Shadow Of A Drought,
5:30am,Yu-Gi-Oh!: Rulers of the Duel,The Mystery Duelist (Part 1),
6:00am,Mona the Vampire,Ghouls Rule! / The Transylvanian Twist,
6:30am,Monster By Mistake,Jungeland,
7:00am,Sailor Moon,An Artful Attack,
7:30am,Hamtaro,"Hamtaro, Super Sleuth!",
8:00am,Rugrats,The First Cut / Chuckie Grows,
8:30am,Uh Oh!,Episode 217,
9:00am,Little Bear,Episode 24,
9:30am,Care Bears,Thing / Space Bubbles,
10:00am,Country Mouse & The City Mouse Adventures,Zeppelins Away!,
10:30am,Rupert,Rupert's Roman Adventure,
11:00am,Monster By Mistake,Entertaining Orville,
11:30am,Stickin' Around,Gross Anatomy / Stacy and Bradley Sittin' in a Tree,
12:00pm,Sailor Moon,Enemies No More,
12:30pm,Hamtaro,"Hamtaro, Super Sleuth!",
1:00pm,George Shrinks,Ants In The Pantry,
1:30pm,Legend Of White Fang,Two Free Beings,
2:00pm,Mona the Vampire,Ghouls Rule! / The Transylvanian Twist,
2:30pm,Sailor Moon,An Artful Attack,
3:00pm,Metabots,Use The Medaforce,
3:30pm,Monster Rancher,The Courageous Seven,
4:00pm,Pokémon: Master Quest,The Rage Of Innocence,
4:30pm,Dexter's Laboratory,Beard to Be Feared/Quackor the Fowl/Ant Pants,
5:00pm,Yu-Gi-Oh!: Rulers Of The Duel,The Past Is Present,
5:30pm,Beyblade,Cruising For A Bruising,
6:00pm,SpongeBob SquarePants,Sandy's Rocket / Squeaky Boots,
6:30pm,So Little Time,Manuelo In The Middle,
7:00pm,Girlstuff/Boystuff,Secrets and Lies / Mall's Fair,
7:30pm,Yu-Gi-Oh!,The Mystery Duelist (Part 2),
8:00pm,Dragon Ball Z,Old Kai's Weapon,
8:30pm,ReBoot,Null Bot of the Bride,
9:00pm,I Love Mummy,Balancing Act,
9:30pm,Radio Active,Lou Ann Returns,
10:00pm,Breaker High,New Kids on the Deck,
10:30pm,Big Wolf On Campus,Play it Again Samurai,
11:00pm,The New Addams Family,Uncle Fester's Illness,
11:30pm,2point4children,Saturday Night / Sunday Morning,
