Time,Show,Episode,Image
12:06am,Are You Being Served?,Lost And Found,""
12:38am,Keeping Up Appearances,Episode 14,""
1:17am,My Family,The Unkindest Cut,""
1:55am,The New Addams Family,The Winning Of Morticia,""
2:35am,Radio Active,The Gossip,""
3:06am,Big Wolf On Campus,A Clip Show: The Kiss,""
3:34am,Medabots,Ban All Medabots,""
4:00am,Dragon Ball Z,The Evil Of Men,""
4:30am,Sailor Moon,Cruise Blues,""
5:00am,Pokémon: The Johto Journeys,Whistle Stop,""
5:30am,Yu-Gi-Oh,Yugi vs. the Rare Hunter (Part 2),""
6:00am,Mona The Vampire,The Ninja's Curse / Hal T. Neander,""
6:30am,Seven Little Monsters,Splitting Hairs,""
7:00am,Sailor Moon,Fight To The Finish,""
7:30am,Hamtaro,Calling All Ham-Hams!,""
8:00am,Rugrats,Family Reunion / Grandpa's Date,""
8:30am,Uh Oh!,Episode 203,""
9:00am,Little Bear,Episode 10,""
9:30am,Care Bears,Factory Of Uncaring,""
10:00am,Country Mouse & The City Mouse Adventures,Those Amazing Mice In,""
10:30am,Rupert,Rupert And The Carousel,""
11:00am,The Bittles,Episode 11,""
11:30am,Stickin' Around,Aand Action / Night Of The Living Dumpster,""
12:00pm,Sailor Moon,Driver Dreamer,""
12:30pm,Hamtaro,Calling All Ham-Hams!,""
1:00pm,Seven Little Monsters,Runaway Mom,""
1:30pm,Jacques Cousteau's Ocean Tales,Passionate Blue Whales,""
2:00pm,Mona The Vampire,The Ninja's Curse / Hal T. Neander,""
2:30pm,Sailor Moon,Fight To The Finish,""
3:00pm,Medabots,Meet Your Maker,""
3:30pm,Monster Rancher,Tears,""
4:00pm,Pokémon: The Johto Journeys,Charizard's Burning,""
4:30pm,Dexter's Laboratory,Way of the Dee Dee/The Justice Friends: Say Uncle Sam/Tribe Called Girl,""
5:00pm,Yu-Gi-Oh!,The ESP Duelist (Part 2),""
5:30pm,Beyblade,Showdown In Hong Kong,""
6:00pm,SpongeBob SquarePants,Meets The Strangler,""
6:30pm,The Fairly OddParents,Foul Balled / The Boy Who Would Be Queen,""
7:00pm,Moville Mysteries,"Mirror, Mirror Off The Wall",""
7:30pm,Yu-Gi-Oh!,The ESP Duelist (Part 1),""
8:00pm,Dragon Ball Z,Buu Against Buu,""
8:30pm,ReBoot,System Crash,""
9:00pm,I Love Mummy,Science Fair,""
9:30pm,Radio Active,The CD Case,""
10:00pm,Breaker High,Stowing Pains,""
10:30pm,Big Wolf On Campus,"She Will, She Will Rock",""
11:00pm,The New Addams Family,My Fair Cousin Itt,""
11:30pm,My Family,Driving Miss Crazy,""
