Time,Show,Episode,Image
12:00am,Bonanza,"",""
12:30am
1:00am,Carol Burnett and Friends,"",""
1:30am,Home and Away,"",""
2:00am,That's Incredible!,"",""
2:30am,Doctor Who,"",""
3:00am,"","",""
3:30am,"",""
4:00am,"","",""
4:30am,"","",""
5:00am,"","",""
5:30am,"","",""
6:00am,Dofasco Festival of Christmas Carols,""
6:30am,The Fat Albert Christmas Special (1977),""
7:00am,Shining Time Station,'Tis a Gift,""
7:30am
8:00am,He-Man & She-Ra: A Christmas Special,""
8:30am
9:00am,The Ghosts of Motley Hall,Phantomime,""
9:30am
10:00am,Willy & Floyd,"",""
10:30am,Mister Rogers' Neighborhood,"",""
11:00am,Marie Soleil,"",""
11:30am,MOVIE,""
12:00pm
12:30pm
1:00pm
1:30pm
2:00pm,The Magic Snowman (1987),""
2:30pm
3:00pm
3:30pm
4:00pm,Count Duckula,"",""
4:30pm,Little Crooked Christmas Tree (1990),""
5:00pm,Einstein Tonight (1988),""
5:30pm
6:00pm,The Christmas Tree (1991),""
6:30pm
7:00pm,Little House: Bless All the Dear Children (1984),""
7:30pm
8:00pm
8:30pm
9:00pm,Paul Daniels' Magic Hour,"",""
9:30pm
10:00pm,Famous People Players: Special Friends of China [Note 1],""
10:30pm
11:00pm,Sing[Note 2],""
11:30pm
