Time,Show,Episode,Image
12:00am,Are You Being Served?,Goodbye Mrs. Slocombe,""
12:30am,Keeping Up Appearances,The Candlelight Supper,""
1:00am,Breaker High,"He Shoots, He Scores",""
1:30am,"","",""
2:00am,"","",""
2:30am,"","",""
3:00am,"","",""
3:30am,"","",""
4:00am,"","",""
4:30am,"","",""
5:00am,"","",""
5:30am,"","",""
6:00am,Maya the Bee,"",""
6:30am,Kitty Cats,"",""
7:00am,Bananas in Pajamas,"",""
7:30am,Marie Soleil,"",""
8:00am,Once Upon A Hamster,"",""
8:30am,Ballooner Landing,"",""
9:00am,Rupert,"",""
9:30am,Sailor Moon,Kindergarten Chaos,""
10:00am,Bananas in Pajamas,"",""
10:30am,PJ Katie's Farm,"",""
10:45am,Under the Umbrella Tree,"",""
11:00am,The Adventures of Dudley The Dragon,"",""
11:30am,The Big Comfy Couch,"",""
12:00pm,Peter Pan & The Pirates,"",""
12:30pm,King Arthur & The Knights of Justice,"",""
1:00pm,Tell-A-Tale Town,"",""
1:30pm,Take Part,"",""
2:00pm,Shining Time Station,"",""
2:30pm,Groundling Marsh,"",""
3:00pm,Peter Pan and the Pirates,"",""
3:30pm,Uh Oh!,"",""
4:00pm,Bugs Bunny,Rabbit Seasoning / Gift Wrapped / Bear Feat,""
4:30pm,Doug,"",""
5:00pm,Aaahh!!! Real Monsters,"",""
5:30pm,Mummies Alive!,"",""
6:00pm,The Odyssey,But Where is Here?,""
6:30pm,The Secret World of Alex Mack,The Band,""
7:00pm,Ninja Turtles: The Next Mutation,(the turtles try to stay out of the action),""
7:30pm,Dexter's Laboratory,Paper Route Bout / The Old Switcharooms/ Trick or Treehouse,""
8:00pm,ReBoot,Between A Raccoon And A Hard Place,""
8:30pm,Freaky Stories,Not the Waltons,""
9:00pm,Are You Afraid of the Dark?,The Tale of the Manaha,""
9:30pm,Breaker High,Regret Me Nots,""
10:00pm,Flipper,Ebb Tide,""
10:30pm
11:00pm,Spider-Man,Return of the Flying Dutchman / Farewell Performance,""
11:30pm,No Sweat,(Jimmy and Miles bet on which of them can get the first real gig),""
