Time,Show,Episode,Image
12:00am,The Fresh Prince of Bel-Air,Def Poet's Society,""
12:30am,Sabrina the Teenage Witch,Trial By Fury,""
1:00am,What I Like About You,Bad To The Scone,""
1:30am,Smallville,Rosetta,""
2:00am
2:30am,Sabrina the Teenage Witch,Trial By Fury,""
3:00am,Mystery Hunters,Frankenstein & Shadow People,""
3:30am,Yvon of the Yukon,Cheeses Of Montreal,""
4:00am,Being Ian,Ian's Louse-Ey Day,""
4:30am,Yu-Gi-Oh!,A Reversal Of Fortune,""
5:00am,Pokémon: Advanced Battle,A Judgment Brawl,""
5:30am,Beyblade,Losing Kai,""
6:00am,Monster By Mistake,Jungleland,""
6:30am,Seven Little Monsters,Seven Monsters And A Baby,""
7:00am,The Boy,Free Inside,""
7:30am,Jacob Two-Two,Jacob Two-Two & The Pet Peeve,""
8:00am,Mona the Vampire,Wrath Of Thor / Pied Piper,""
8:30am,LazyTown,Soccer Sucker,""
9:00am,Care Bears,The Great Race,""
9:30am,Monster By Mistake,Brotherly Hate,""
10:00am,Rupert,Rupert & The Ghost,""
10:30am,Seven Little Monsters,April Fools,""
11:00am,George Shrinks,Space Invaders,""
11:30am,Flying Rhino Junior High,Daredevil O'toole: And The Amazon Adventure,""
12:00pm,SpongeBob SquarePants,Jellyfish / Fry Cook Games,""
12:30pm,Being Ian,Links For Love,""
1:00pm,Care Bears,Bright Heart's Bad Day/Magic Lamp,""
1:30pm,George Shrinks,Can We Keep Him?,""
2:00pm,Brady's Beasts,How To Save A Sapphire / How To Vex A Virus,""
2:30pm,The Boy,Three Card Monty,""
3:00pm,Jacob Two-Two,Jacob Two-Two & The Conniving Caterer,""
3:30pm,Captain Flamingo,The Last Stand / Fifty Ways To Leave Your Liver,""
4:00pm,Teen Titans,For Real,""
4:30pm,Martin Mystery,You Do Voodoo,""
5:00pm,The Fairly OddParents,Mighty Mom & Dyno Dad Meet Crimson Chin / Engine Block,""
5:30pm,SpongeBob SquarePants,Something Smells / Bossy Boots,""
6:00pm,Being Ian,The Boy Who Cried Ufo,""
6:30pm,Martin Mystery,Revenge Of The Doppleganger,""
7:00pm,Prank Patrol,The Dinner Party,""
7:30pm,Zixx: Level One,The Key Ring,""
8:00pm,Naruto,Bushy Brow's Jealousy: Lions Barrage Unleashed!,""
8:30pm,Shadow Raiders,Nor Iron Bars A Cage,""
9:00pm,Inuyasha,Protect And Plunder,""
9:30pm,Mobile Suit Gundam SEED,Day Of Wrath,""
10:00pm,Full Metal Alchemist,Fullmetal Heart,""
10:30pm,Zixx: Level Two,The Rod Of Lethor,""
11:00pm,Monster Warriors,Last Ride Of The Skeleton Crew,""
11:30pm,Dark Oracle,Camping Trip,""
