Time,Show,Episode,Image
12:00am,The Fresh Prince of Bel-Air,Kiss My Butler,""
12:30am,Sabrina the Teenage Witch,Mars Attracts,""
1:00am,What I Like About You,Halloween,""
1:30am,Smallville,Witness,""
2:00am
2:30am,Sabrina the Teenage Witch,Mars Attracts,""
3:00am,Mystery Hunters,Great Lakes / Spook Light,""
3:30am,Yvon of the Yukon,Dummy Account,""
4:00am,Being Ian,Show Me The Bunny,""
4:30am,Yu-Gi-Oh!,"Village Of Vengeance, Part 3",""
5:00am,Pokémon Advanced Battle,The Scheme Team,""
5:30am,Beyblade,Victory In Defeat,""
6:00am,Monster By Mistake,Monster Wrestling Challenge,""
6:30am,Seven Little Monsters,Along Comes Mary,""
7:00am,The Boy,Bad Boy,""
7:30am,Jacob Two-Two,Jacob Two-Two And The Vintage Voice Vortex,""
8:00am,Mona the Vampire,Gotto Robotto / Laser Lizard,""
8:30am,Jane and the Dragon,King's Knight,""
9:00am,Care Bears,Camp Out / Robot Heart,""
9:30am,Monster By Mistake,Fossil Remains,""
10:00am,Rupert,Rupert & Ginger,""
10:30am,Seven Little Monsters,Ear Spy / Zoom To The Moon,""
11:00am,George Shrinks,Return To Sender,""
11:30am,Flying Rhino Junior High,All Green Thumbs,""
12:00pm,SpongeBob SquarePants,Just One Bite / The Bully,""
12:30pm,Being Ian,Show Me The Bunny,""
1:00pm,The Care Bears Family,Caring Crystals/Best Way To Make Friends,""
1:30pm,George Shrinks,From Bad To Worse,""
2:00pm,Jane and the Dragon,King's Knight,""
2:30pm,The Boy,Pokeboy,""
3:00pm,Jacob Two-Two,Jacob Two-Two & The Scholars For Dollars,""
3:30pm,Battle B-Daman,Food Fight,""
4:00pm,Teen Titans,Lightspeed,""
4:30pm,Martin Mystery,Movie Monster Mayhem,""
5:00pm,The Fairly OddParents,Pipe Down / Big Scoop,""
5:30pm,SpongeBob SquarePants,Pre-Hibernation Week / Life Of Crime,""
6:00pm,Being Ian,The Curse,""
6:30pm,Martin Mystery,The Awakening,""
7:00pm,Ghost Trackers,The Ghost Of Whitby Courthouse,""
7:30pm,Dark Oracle,Ticking Clock,""
8:00pm,SpongeBob SquarePants,Survival Of The Idiots / Dumped,""
8:30pm,Being Ian,Hockey Night In Burnaby,""
9:00pm,15/Love,King Pong,""
9:30pm,Prank Patrol,Heavy Metal Makeover,""
10:00pm,Bob and Margaret,An Ordinary Dentist,""
10:30pm,Nancy Drew,Double Suspicion,""
11:00pm,Madison,The Kiss Of Life,""
11:30pm,Hollywood's Ten Best,Hollywood's 10 Best Julia Roberts Movies,""
